"","SKA03_27","SKA03_28","SKA03_29","SKA03_46","SKA03_48","SKA03_49"
"NOL9",2986,1060,1153,2443,1828,1817
"TAS1R1",0,2,2,0,0,2
"LOC107984912",0,0,0,0,0,0
"ZBTB48",441,374,271,232,229,248
"KLHL21",3522,933,859,2835,2665,2759
"LOC107984913",10,1,6,8,6,2
"PHF13",1647,620,602,1373,1266,1384
"THAP3",477,406,411,463,386,424
"DNAJC11",2247,704,571,2185,2040,1870
"LINC01672",0,0,0,0,0,0
"CAMTA1-DT",0,8,16,0,0,6
"CAMTA1",851,590,597,821,743,790
"RPL37P9",3,1,0,0,0,0
"LOC105376692",0,0,2,0,0,0
"CAMTA1-AS2",0,0,0,0,0,0
"CAMTA1-AS1",0,0,0,0,0,0
"LOC105376691",0,0,0,0,0,0
"LOC105376689",10,1,4,12,20,16
"VAMP3",3786,938,1151,3651,3245,3395
"PER3",1914,347,336,1238,1055,1272
"UTS2",0,1,5,0,4,0
"TNFRSF9",70,42,54,66,76,64
"PARK7",5540,4001,4463,6902,7261,6296
"ERRFI1",2174,448,486,1397,1262,1332
"RPL7AP18",0,0,0,0,0,0
"LOC107984915",0,0,0,0,0,0
"LINC01714",0,0,2,0,0,0
"LOC105376695",0,0,0,0,0,0
"SLC45A1",0,0,0,0,2,0
"RERE",3105,969,862,1996,1569,1799
"RERE-AS1",4,2,0,0,0,0
"SNORD128",0,2,0,0,0,0
"RPL7P11",7,10,0,4,0,0
"RPL7P7",11,0,6,4,0,0
"RPL23AP19",0,0,0,0,0,0
"ENO1",69543,47012,45794,78950,76921,72156
"MIR6728",2,0,0,2,2,0
"ENO1-AS1",23,2,1,26,27,25
"HMGN2P17",4,0,2,0,0,2
"LOC112268261",0,0,0,0,0,0
"CA6",0,0,0,0,0,0
"RN7SL451P",0,0,0,0,0,0
"SLC2A7",7,2,2,5,8,1
"SLC2A5",22,12,12,64,90,38
"GPR157",447,134,140,364,314,288
"MIR34AHG",54,37,25,18,21,26
"MIR34A",0,0,0,0,0,0
"LNCTAM34A",5,0,8,9,2,0
"H6PD",574,325,295,530,362,435
"SPSB1",1212,572,538,1063,877,834
"LINC02606",4,10,0,5,2,8
"SLC25A33",1134,510,635,934,965,881
"RPL9P11",11,4,4,0,0,6
"TMEM201",3164,1248,1092,2765,2510,2688
"LOC105376712",0,0,0,0,0,0
"PIK3CD",86,14,20,26,34,28
"PIK3CD-AS1",0,0,0,0,0,0
"PIK3CD-AS2",12,12,8,4,17,6
"CLSTN1",5215,1871,1701,3961,3827,3583
"MZT1P1",3,2,0,0,0,0
"CTNNBIP1",191,107,108,188,206,157
"LOC105376717",0,0,0,0,0,0
"LZIC",1607,701,756,1683,1723,1511
"NMNAT1",192,116,134,197,234,180
"TMEM274P",8,14,8,3,0,0
"MIR5697",1,2,0,0,0,0
"RBP7",18,22,26,32,14,16
"UBE4B",2977,826,676,2150,1817,2053
"RPL21P21",1,0,0,0,0,0
"KIF1B",5164,1119,1004,3269,2462,2920
"RNU6-37P",3,18,4,2,0,2
"LOC105376725",8,24,21,19,1,10
"PGD",7139,3474,3373,7329,7211,6890
"CENPS",42,86,107,47,42,65
"CENPS-CORT",0,1,0,6,0,0
"CORT",4,0,4,2,0,0
"DFFA",4733,4604,4544,4754,4057,4116
"PEX14",793,420,415,871,729,658
"RN7SL614P",2,2,0,2,0,0
"CASZ1",780,230,240,476,402,463
"LOC105376733",0,0,0,0,0,0
"LOC105376735",0,0,0,0,0,0
"C1orf127",0,0,0,0,0,0
"CFL1P6",0,0,0,0,0,0
"TARDBP",8848,3500,3430,8805,8567,8443
"MASP2",56,10,1,16,11,12
"SRM",4546,2375,2575,4500,4383,4422
"EXOSC10",3175,790,750,2618,2517,2579
"EXOSC10-AS1",14,3,6,12,7,3
"MTOR",3751,898,929,2774,2325,2665
"MTOR-AS1",0,4,0,0,0,0
"RNU6-537P",0,0,0,0,0,0
"ANGPTL7",25,3,2,4,1,2
"RPL39P6",0,0,0,0,2,0
"UBIAD1",1313,725,738,1368,1182,1153
"UBE2V2P3",4,0,2,0,0,2
"LOC105376737",0,0,0,0,0,0
"LOC105376739",0,0,0,0,0,0
"LOC105376740",0,0,0,0,0,0
"DISP3",12,9,10,4,0,4
"LOC112268221",0,0,0,0,0,0
"LINC01647",2,1,6,2,0,0
"FBXO2",2787,3038,2847,3846,4050,3450
"FBXO44",414,373,250,413,334,429
"FBXO6",313,174,234,316,357,388
"MAD2L2",1095,958,932,1254,1096,1071
"DRAXIN",2,0,0,0,0,2
"AGTRAP",535,402,418,622,548,555
"LOC101060126",0,0,0,0,0,0
"C1orf167",0,0,0,0,0,0
"C1orf167-AS1",0,0,0,0,0,0
"MTHFR",594,342,359,329,285,367
"CLCN6",465,148,160,269,195,258
"NPPA-AS1",7,0,3,2,0,0
"NPPA",13,10,6,4,8,2
"NPPB",2020,1056,1099,1611,1198,1261
"SBF1P2",2,0,0,0,0,0
"RNU5E-1",2,0,2,0,6,0
"KIAA2013",2272,1368,1077,2221,2030,1945
"PLOD1",4017,1417,1400,3810,3876,3661
"MFN2",5335,1603,1552,4936,4693,4737
"MIIP",544,440,454,545,563,520
"MIR6729",0,0,0,0,0,0
"TNFRSF8",0,6,4,0,0,0
"RPL23AP89",0,0,0,0,0,0
"TNFRSF1B",491,231,186,576,640,566
"MIR7846",0,0,0,0,0,0
"MIR4632",0,0,0,0,0,0
"LOC107984917",0,0,0,0,0,0
"RPL10P17",0,0,0,0,0,0
"VPS13D",2057,521,365,1306,783,1002
"SNORA59A",2,1,0,3,1,4
"LINC02766",2,0,0,0,0,0
"DHRS3",998,830,739,1007,921,836
"MIR6730",0,0,0,0,0,0
"AADACL4",0,0,0,0,0,0
"AADACL3",0,0,0,0,0,0
"C1orf158",0,0,0,0,0,0
"PRAMEF12",2,0,0,0,0,0
"PRAMEF1",0,0,0,0,0,0
"LINC01784",0,0,0,0,0,0
"PRAMEF11",0,0,0,0,0,0
"PRAMEF30P",0,0,0,0,0,0
"HNRNPCL1",0,0,0,0,0,0
"PRAMEF2",0,0,0,0,0,0
"PRAMEF4",0,0,0,0,0,0
"PRAMEF10",0,0,0,0,0,0
"PRAMEF7",0,0,0,0,0,0
"RNU6-1072P",0,0,0,0,0,0
"PRAMEF6",0,0,0,0,0,0
"PRAMEF28P",0,0,0,0,0,0
"PRAMEF27",0,0,0,0,0,0
"HNRNPCL3",0,0,0,0,0,0
"PRAMEF25",0,0,0,0,0,0
"PRAMEF34P",0,0,0,0,0,0
"PRAMEF35P",0,0,0,0,0,0
"HNRNPCL2",0,0,0,0,0,0
"PRAMEF36P",0,0,0,0,0,0
"PRAMEF26",0,0,0,0,0,0
"HNRNPCL4",0,0,0,0,0,0
"PRAMEF9",0,0,0,0,0,0
"PRAMEF13",0,0,0,0,0,0
"PRAMEF18",0,0,0,0,0,0
"PRAMEF5",0,0,0,0,0,0
"RNU6-771P",0,0,0,0,0,0
"PRAMEF8",0,0,0,0,0,0
"PRAMEF33",0,0,0,0,0,0
"PRAMEF15",0,0,0,0,0,0
"PRAMEF14",0,0,0,0,0,0
"PRAMEF19",2,0,0,0,0,0
"PRAMEF17",0,0,0,0,0,0
"PRAMEF20",0,0,0,0,0,0
"LRRC38",0,0,0,0,0,0
"LOC102724856",0,0,0,0,0,0
"LOC107984918",0,0,0,0,0,0
"BRWD1P1",0,0,0,0,0,0
"PDPN",0,0,0,0,0,0
"LOC107984919",0,0,0,0,0,0
"LOC105378612",0,0,0,0,0,0
"LOC105376756",0,0,0,0,0,0
"PRDM2",1494,265,231,913,780,741
"KAZN",88,24,36,80,62,73
"LOC107985467",0,0,0,0,0,0
"LOC107985468",0,0,0,0,0,0
"KAZN-AS1",3,0,0,0,0,0
"TBCAP2",0,0,0,0,0,0
"LOC105376759",0,4,0,0,0,0
"LOC107985469",0,0,0,0,0,0
"TMEM51-AS1",4,12,10,4,6,7
"TMEM51",1273,813,839,1013,967,968
"C1orf195",15,14,11,6,0,0
"MFFP1",17,8,4,4,2,3
"FHAD1",4,0,0,0,0,0
"FHAD1-AS1",0,0,0,0,0,0
"LOC101927441",4,20,2,10,0,0
"EFHD2",1584,825,840,1876,1768,1842
"CTRC",4,0,0,0,0,0
"CELA2A",0,4,0,2,0,2
"LOC105376767",0,0,0,0,0,0
"CELA2B",5,0,17,0,0,0
"CASP9",345,151,146,332,316,267
"DNAJC16",1104,395,285,778,701,730
"SCARNA21B",0,0,0,0,0,0
"AGMAT",2668,1638,1680,2936,3026,3086
"CHCHD2P6",4,4,12,6,10,4
"CD24P1",0,0,0,0,0,0
"DDI2",2685,575,703,1911,1563,1664
"RSC1A1",0,0,0,0,0,0
"PLEKHM2",3067,1570,1298,2165,1864,1791
"SLC25A34",2,0,2,0,0,8
"SLC25A34-AS1",0,0,0,0,0,0
"TMEM82",114,96,109,130,162,147
"FBLIM1",520,244,216,544,480,538
"RPL12P14",29,20,27,25,5,10
"UQCRHL",156,100,126,148,172,162
"RPS16P1",16,12,14,10,10,14
"FLJ37453",103,71,46,67,76,81
"SPEN",6492,1416,1219,3729,2554,3078
"ZBTB17",623,419,358,493,399,384
"SRARP",2,0,0,2,0,0
"HSPB7",0,0,0,0,0,0
"CLCNKA",4,0,0,0,2,0
"LOC440568",0,0,0,0,2,0
"CLCNKB",0,0,0,0,0,0
"FAM131C",10,0,0,2,0,0
"EPHA2",5583,1546,1540,4515,3689,4070
"LOC101927479",157,166,130,121,100,134
"ARHGEF19",239,136,134,227,227,203
"ANO7L1",4,8,2,8,8,6
"CPLANE2",67,48,42,65,61,50
"MT1XP1",0,0,0,0,0,0
"FBXO42",1057,327,338,713,644,673
"SZRD1",2325,811,649,2555,2255,2299
"RPL22P3",4,1,0,1,0,1
"SPATA21",9,18,2,3,0,0
"NECAP2",1057,440,541,1176,1126,1008
"LINC01772",3,10,16,8,2,4
"CROCCP3",43,12,12,16,5,7
"RNU1-1",1,0,0,3,2,0
"TRN-GTT5-1",0,0,0,0,0,0
"LINC01783",0,0,2,0,0,0
"TRE-TTC4-1",0,0,0,0,0,0
"TRG-CCC1-1",0,0,0,0,0,0
"LOC100421267",0,0,0,0,0,0
"NBPF1",446,37,35,314,315,328
"LOC105376794",98,53,46,56,32,34
"CROCCP2",74,21,42,34,27,31
"MST1P2",0,14,12,12,5,12
"LOC107985736",8,0,2,6,0,0
"RNU1-3",0,0,0,0,2,0
"TRG-CCC4-1",0,0,0,0,0,0
"EIF1AXP1",290,152,204,338,344,288
"ESPNP",2,0,0,0,0,4
"TRG-CCC5-1",0,0,0,0,0,0
"RNU1-4",0,0,0,0,0,0
"CROCCP4",0,0,0,0,0,0
"MST1L",4,0,1,0,0,2
"LOC100421279",0,0,0,0,0,0
"MIR3675",0,0,0,0,0,0
"TRG-CCC1-2",0,0,0,0,0,0
"LOC112267871",2,2,6,5,0,0
"TRE-TTC3-1",0,0,0,0,0,0
"TRN-GTT13-1",0,0,0,0,0,0
"LOC107985101",2,2,2,2,3,0
"LOC105376805",8,0,7,1,8,1
"TRN-GTT4-1",0,0,0,0,0,0
"RNU1-2",2,0,0,0,0,0
"CROCC",146,94,65,120,78,137
"MFAP2",74,37,10,72,89,60
"LOC105376806",0,0,0,0,1,0
"ATP13A2",2100,773,565,1923,1860,2001
"SDHB",2117,1093,1220,2830,2812,2801
"PADI2",24,8,8,22,40,16
"LOC105376808",0,0,0,0,0,0
"LINC02783",0,0,0,0,0,0
"PADI1",2,0,0,2,2,4
"PADI3",0,0,0,0,0,0
"MIR3972",0,0,0,0,0,0
"PADI4",0,0,0,0,0,0
"PADI6",0,0,0,0,0,0
"RCC2",0,0,0,0,0,0
"ARHGEF10L",541,197,177,384,275,390
"LINC02810",0,0,0,0,0,0
"ACTL8",12,8,2,14,8,6
"LOC105376809",0,0,0,0,0,0
"LOC105376812",0,0,0,0,0,0
"LINC01654",0,0,0,0,0,0
"IGSF21",0,0,0,0,0,0
"IGSF21-AS1",0,0,0,0,0,0
"KLHDC7A",378,112,96,262,192,204
"DYNLL1P3",0,0,0,0,0,0
"PAX7",0,0,2,0,0,0
"TAS1R2",0,0,0,0,0,0
"ALDH4A1",834,370,359,782,701,681
"MIR4695",0,0,0,0,0,0
"MIR1290",1,0,0,0,0,0
"IFFO2",4982,1403,1476,3052,2635,2712
"LOC105376815",4,2,0,0,0,0
"UBR4",13619,3419,2884,7447,4667,6170
"EMC1-AS1",10,2,2,0,0,0
"EMC1",3866,1558,1613,3692,3453,3652
"MRTO4",4773,6438,6129,5691,5069,5054
"AKR7L",14,2,5,16,2,0
"AKR7A3",31,12,28,29,18,12
"LOC100506730",36,8,18,18,12,6
"AKR7A2",1663,1125,1066,1808,1908,1829
"RNU6-1099P",2,0,4,1,2,2
"SLC66A1",1065,821,790,1078,1004,933
"CAPZB",5953,3545,3594,6820,6442,6334
"RN7SL277P",3,4,0,2,0,0
"LOC105376819",0,0,1,0,0,0
"LOC105376818",0,0,0,0,0,0
"LOC105376817",0,0,0,0,0,0
"LOC105378614",2,0,0,0,0,0
"MICOS10",862,1174,1307,1398,1401,1123
"MICOS10-NBL1",0,0,0,0,0,0
"RPS14P3",25,53,28,57,44,32
"NBL1",4,6,0,0,4,8
"HTR6",6,0,0,0,0,2
"TMCO4",713,196,209,691,626,620
"RNF186",6,4,0,2,2,0
"LOC105376823",10,4,20,2,2,12
"OTUD3",1435,367,378,735,589,528
"PLA2G2E",1,0,0,0,0,0
"PLA2G2A",2731,2027,2031,2355,2761,2554
"PLA2G5",0,0,0,0,0,0
"PLA2G2D",0,0,0,0,0,2
"PLA2G2F",0,0,0,0,0,0
"LOC117779438",0,0,0,0,0,0
"PLA2G2C",0,0,0,0,0,0
"UBXN10",2,4,2,6,16,2
"UBXN10-AS1",0,0,0,0,0,0
"LOC105376825",0,0,0,0,0,0
"LOC105376826",0,0,0,0,0,0
"LINC01757",0,0,0,0,0,0
"LOC105376828",0,0,0,0,0,0
"VWA5B1",0,0,2,0,0,0
"LINC01141",0,0,0,0,0,0
"CAMK2N1",1335,1057,1110,1414,1495,1434
"MUL1",1387,694,602,1323,1202,1284
"RPS4XP4",0,0,0,0,0,0
"FAM43B",0,0,0,0,0,0
"CDA",22,10,4,31,36,42
"PINK1",138,34,27,140,100,172
"MIR6084",0,0,0,0,0,0
"PINK1-AS",57,31,45,55,51,32
"DDOST",7545,2890,2748,8350,7995,7962
"KIF17",85,20,45,75,56,66
"SH2D5",293,128,154,325,265,300
"HP1BP3",4210,1067,900,3114,2777,3152
"EIF4G3",3249,882,659,2198,1811,1890
"LOC105376830",20,16,12,0,0,0
"LOC105376829",14,4,6,11,0,0
"MIR1256",0,0,0,0,0,0
"RPS15AP6",4,1,3,0,0,0
"ECE1",4439,1630,1425,3715,3562,3553
"ECE1-AS1",14,8,2,4,0,3
"PPP1R11P1",0,0,0,0,0,0
"LOC100421269",0,0,0,0,0,0
"LOC105376832",0,0,0,0,0,0
"HS6ST1P1",0,4,0,8,2,0
"CROCCP5",0,0,0,0,0,0
"NBPF3",215,70,66,255,217,188
"PFN1P10",2,0,0,0,2,2
"ALPL",4,0,2,3,0,0
"LINC02596",0,0,0,0,0,4
"RAP1GAP",297,116,133,321,239,289
"USP48",1698,648,675,1376,1351,1321
"LDLRAD2",6,0,0,3,0,3
"HSPG2",10973,1888,1263,6210,4797,5975
"RPL21P29",3,0,0,0,0,2
"CELA3B",0,0,0,0,0,0
"CELA3A",0,0,0,0,0,0
"LINC01635",2,4,2,2,2,6
"LINC00339",129,56,96,103,112,99
"CDC42-AS1",2,3,0,0,0,0
"CDC42",8321,3518,3896,9113,9051,8842
"MPHOSPH6P1",11,6,0,0,1,0
"WNT4",36,26,10,6,2,2
"LOC105376845",0,4,0,2,2,0
"LOC105376850",0,2,0,3,0,0
"LOC107985377",0,2,0,0,0,0
"MIR4418",0,0,0,0,0,0
"LOC105376856",14,2,10,0,6,10
"ZBTB40",1693,506,424,1025,725,880
"EPHA8",2,1,0,2,0,0
"MIR6127",0,0,0,0,0,0
"C1QA",0,0,0,0,0,0
"C1QC",2,0,0,0,0,0
"C1QB",0,0,0,0,0,0
"EPHB2",141,82,56,262,196,156
"MIR4684",0,0,0,0,0,0
"MIR4253",0,0,0,0,0,0
"LACTBL1",0,0,0,0,0,0
"TEX46",2,0,0,0,0,0
"KDM1A",4276,2542,2196,3870,4169,3799
"MIR3115",0,0,0,0,0,0
"LUZP1",2125,660,646,1664,1194,1244
"HTR1D",138,64,76,179,122,130
"RPL29P6",0,0,0,0,0,0
"LINC01355",0,0,0,0,0,0
"HNRNPR",88,6,6,70,84,76
"ZNF436",0,0,0,0,0,0
"ZNF436-AS1",0,0,0,0,0,0
"TCEA3",2,0,0,4,10,18
"ASAP3",0,0,0,0,0,2
"E2F2",3,1,2,6,2,2
"LOC101928163",0,0,0,0,0,0
"LOC105376859",0,0,0,0,0,0
"ID3",0,0,0,0,0,0
"LOC107984928",0,0,0,0,0,0
"MDS2",0,0,0,0,0,0
"RPL11",23496,35428,35267,24113,25209,22440
"ELOA",2389,810,816,1971,1691,1845
"ELOA-AS1",17,4,2,4,11,7
"PITHD1",1479,773,994,1354,1360,1129
"LOC105376860",0,0,0,0,0,0
"LYPLA2",1712,1299,1254,2178,2148,1971
"GALE",1473,653,815,1769,1694,1684
"HMGCL",531,368,386,610,649,686
"LOC105376861",0,0,0,0,0,0
"FUCA1",743,310,254,790,893,946
"CNR2",0,4,0,0,0,0
"BTBD6P1",0,0,0,0,0,0
"LOC107984929",0,0,0,0,0,0
"MIR378F",0,0,0,0,0,0
"PNRC2",3817,1145,1250,3601,3644,3629
"SRSF10",4492,1770,1953,4310,4212,4245
"LOC105378615",0,0,0,0,0,0
"RPL36P5",0,0,0,0,0,0
"LOC105376863",2,4,10,6,13,4
"LOC107984931",0,0,0,0,0,0
"MYOM3",44,45,26,68,66,82
"MYOM3-AS1",0,8,0,0,0,0
"LOC105376864",0,0,0,2,1,0
"IL22RA1",444,196,150,454,495,452
"IFNLR1",614,189,200,536,333,408
"LINC02800",0,0,0,0,0,0
"GRHL3-AS1",0,0,0,0,0,0
"GRHL3",8,2,0,2,0,0
"STPG1",206,65,57,184,189,138
"NIPAL3",318,196,140,310,266,281
"RCAN3AS",0,0,0,0,0,0
"RCAN3",383,122,120,367,335,352
"NCMAP-DT",0,0,0,0,1,2
"NCMAP",4,2,0,0,11,4
"SRRM1",4464,3194,2602,3646,3159,2997
"CLIC4",4828,562,632,4276,4103,4378
"LOC105376876",0,0,0,0,0,0
"RUNX3",134,110,154,116,100,108
"MIR6731",0,0,0,0,0,0
"LOC107984932",0,2,0,4,0,0
"RUNX3-AS1",0,2,0,0,0,0
"MIR4425",0,0,0,0,0,0
"LINC02793",0,0,0,0,0,0
"IFITM3P7",0,0,0,0,0,0
"SYF2",558,632,630,606,638,602
"RSRP1",340,160,187,252,232,241
"LOC105376882",0,0,0,0,0,0
"RHD",0,0,0,0,0,0
"SDHDP6",0,0,4,0,0,0
"TMEM50A",738,245,296,906,973,884
"RHCE",4,0,12,6,0,0
"SDHDP7",4,2,2,4,4,4
"MACO1",464,194,250,498,408,401
"LDLRAP1",329,180,140,290,288,325
"MAN1C1",6,12,7,20,30,18
"SELENON",1123,426,348,794,816,960
"MTFR1L",152,85,114,166,156,168
"LOC646471",12,4,10,13,2,0
"AUNIP",254,108,172,242,206,238
"PAQR7",1024,730,640,949,795,860
