"","SKA03_16","SKA03_19","SKA03_20","SKA03_41","SKA03_43","SKA03_45"
"CCNL2",926,628,1115,693,569,596
"MRPL20-AS1",770,593,932,804,622,584
"MRPL20",4282,2697,4127,2624,2009,2314
"LOC107984868",0,0,0,0,0,0
"ANKRD65",14,6,10,2,8,12
"LOC105378585",5,0,0,0,0,0
"TMEM88B",0,0,0,0,0,0
"LINC01770",6,6,12,0,7,9
"LOC107985729",6,0,0,0,2,2
"VWA1",1641,1632,1949,1712,1522,1575
"ATAD3C",10,4,15,5,1,4
"ATAD3B",3415,2559,4179,2572,2144,2393
"ATAD3A",6262,4960,7714,5125,4238,4480
"TMEM240",2,2,0,6,3,3
"SSU72",5980,3962,6041,3755,3043,3257
"FNDC10",223,150,217,176,135,170
"LOC105378586",0,0,0,0,1,2
"MIB2",535,466,678,457,449,482
"MMP23B",0,0,0,0,0,4
"CDK11B",3618,1176,3157,1746,1281,1587
"SLC35E2B",278,312,410,335,470,527
"LOC100288379",3,0,2,2,0,4
"MMP23A",0,0,0,0,0,0
"CDK11A",1544,432,1068,597,398,450
"SLC35E2A",344,385,512,593,657,644
"LOC100129381",13,10,14,4,15,4
"LOC112268218",0,0,0,0,0,0
"NADK",1381,1801,2172,1996,1898,2032
"GNB1",9088,9916,13061,10618,10370,11701
"LOC105378949",6,5,10,4,7,0
"CALML6",0,0,0,0,0,0
"TMEM52",94,36,47,35,50,23
"CFAP74",0,0,0,0,2,0
"LOC107984872",0,0,0,0,7,0
"LOC105378589",6,10,6,2,0,0
"GABRD",0,0,0,0,2,10
"LOC105378590",0,0,1,0,0,0
"LOC105378591",0,0,0,2,0,0
"PRKCZ",489,647,846,756,699,752
"PRKCZ-AS1",19,16,16,10,6,7
"FAAP20",1616,876,1489,940,717,889
"LOC112268219",189,163,156,175,113,102
"LOC105378593",0,0,0,3,0,0
"SKI",1222,1431,1905,1716,2172,2262
"MORN1",103,99,167,141,119,126
"LOC100129534",37,19,37,25,18,22
"RER1",5023,4145,5972,4737,3911,4022
"PEX10",403,688,775,741,605,761
"PLCH2",0,0,2,0,0,0
"PANK4",2,4,6,2,0,0
"HES5",0,0,0,0,0,0
"TNFRSF14-AS1",0,0,0,0,0,0
"TNFRSF14",0,6,6,8,4,2
"LOC100996583",0,0,0,0,0,0
"PRXL2B",0,0,0,0,0,0
"MMEL1",0,0,4,0,0,2
"MMEL1-AS1",0,0,0,0,0,0
"TTC34",0,0,0,0,0,0
"LOC105378603",0,0,0,0,0,0
"LOC105378602",0,0,0,0,0,0
"LOC105378601",0,0,0,0,0,0
"LOC112268220",0,0,0,0,0,0
"LOC107985732",0,0,0,0,0,0
"LOC105378600",0,0,0,0,0,0
"LOC105378598",0,0,0,0,0,0
"LOC107984904",0,0,0,0,0,0
"LOC105378599",0,0,0,0,0,0
"ACTRT2",0,2,0,0,0,0
"PRDM16-DT",14,17,8,14,8,16
"PRDM16",47,52,68,47,63,51
"MIR4251",0,0,0,0,0,0
"LOC105378606",0,2,2,0,0,0
"LOC107984909",2,0,4,4,0,13
"LOC105378605",4,0,0,0,0,0
"LOC105378604",40,38,27,22,24,30
"ARHGEF16",803,790,1028,880,847,989
"MEGF6",167,137,180,124,126,83
"LOC105378608",4,0,2,0,0,8
"MIR551A",0,0,0,0,0,0
"LOC105378607",0,0,0,0,0,0
"TPRG1L",2063,1846,2676,2074,1984,2074
"WRAP73",582,590,730,546,472,666
"TP73",1116,1219,1817,980,1024,935
"TP73-AS3",9,6,21,2,7,2
"LOC105378609",3,0,0,0,0,0
"TP73-AS1",0,0,0,0,0,0
"CCDC27",3,0,0,0,0,1
"SMIM1",38,38,46,35,48,35
"LRRC47",2016,2144,2639,2185,2037,2179
"CEP104",762,579,972,791,774,821
"DFFB",146,133,124,109,111,148
"LOC107984910",8,12,10,9,2,0
"C1orf174",566,620,859,756,706,658
"LINC01134",10,10,8,10,12,16
"LINC01346",0,0,0,0,0,0
"LINC01345",0,0,2,0,0,0
"LINC02780",0,0,0,0,0,0
"LINC01777",0,0,0,0,0,0
"LOC105376674",0,0,0,0,0,0
"LINC01646",0,0,0,0,0,0
"LOC107985376",0,0,0,0,0,0
"AJAP1",0,0,0,0,0,0
"LINC02781",0,0,0,0,0,0
"LOC102724429",0,0,0,0,0,0
"LINC02782",0,0,0,0,0,0
"LOC105376682",0,0,0,0,0,0
"LOC107984911",0,0,0,0,0,0
"LOC105376686",0,0,0,0,0,0
"MIR4689",0,0,0,0,0,0
"NPHP4",133,149,213,175,201,245
"KCNAB2",136,132,221,287,221,232
"CHD5",0,2,4,2,2,0
"LOC112268285",0,0,0,0,0,0
"LOC105376687",0,0,0,0,0,0
"RPL22",35097,19336,34689,16694,13199,12962
"LOC107985733",4,2,3,1,0,0
"RNF207-AS1",4,9,6,5,1,0
"RNF207",86,48,86,58,40,45
"ICMT",5103,6378,8123,6406,6293,6668
"LINC00337",56,46,83,42,36,35
"HES3",0,0,0,0,0,0
"GPR153",48,74,88,86,100,104
"ACOT7",3604,3479,4732,3851,3247,3612
"HES2",4,14,17,12,6,16
"ESPN",107,108,89,157,96,143
"MIR4252",0,0,0,0,0,0
"TNFRSF25",12,10,7,7,6,3
"PLEKHG5",86,118,134,126,125,159
"NOL9",2010,1722,2613,1359,1539,1298
"TAS1R1",0,2,0,0,2,0
"LOC107984912",0,0,0,0,0,0
"ZBTB48",377,236,333,235,163,203
"KLHL21",2035,2688,3753,2425,2433,2676
"LOC107984913",4,6,15,0,2,0
"PHF13",1492,1702,2059,1248,1128,1337
"THAP3",539,328,509,309,323,376
"DNAJC11",938,1460,2095,1926,1946,2007
"LINC01672",0,0,0,0,0,0
"CAMTA1-DT",10,4,17,4,7,2
"CAMTA1",1065,773,1140,692,482,647
"RPL37P9",0,3,0,0,0,0
"LOC105376692",0,0,0,0,0,0
"CAMTA1-AS2",0,0,0,0,0,0
"CAMTA1-AS1",0,0,0,0,2,0
"LOC105376691",0,0,0,0,0,0
"LOC105376689",8,14,20,8,0,8
"VAMP3",2387,2792,4007,3062,3136,3256
"PER3",596,619,957,791,963,1077
"UTS2",10,4,5,0,0,2
"TNFRSF9",108,156,216,98,148,174
"PARK7",9494,7090,12264,7958,6167,6028
"ERRFI1",2002,2377,3366,2022,2298,2556
"RPL7AP18",0,0,2,0,0,0
"LOC107984915",0,1,0,0,0,0
"LINC01714",0,0,2,0,0,0
"LOC105376695",0,0,3,0,0,0
"SLC45A1",0,2,2,0,0,0
"RERE",1634,1237,2195,1342,1839,1806
"RERE-AS1",4,0,1,0,0,2
"SNORD128",0,0,0,0,0,0
"RPL7P11",2,0,2,2,0,0
"RPL7P7",2,0,1,0,2,2
"RPL23AP19",0,0,0,0,0,0
"ENO1",84256,81974,110713,89969,70865,75971
"MIR6728",1,0,0,0,0,0
"ENO1-AS1",18,27,8,30,16,14
"HMGN2P17",4,0,0,0,0,0
"LOC112268261",0,0,2,0,0,0
"CA6",0,0,0,0,0,0
"RN7SL451P",0,0,0,0,0,0
"SLC2A7",13,6,12,2,2,6
"SLC2A5",64,86,120,129,116,158
"GPR157",294,226,328,273,240,252
"MIR34AHG",16,9,4,6,12,8
"MIR34A",0,0,0,0,0,0
"LNCTAM34A",16,2,4,2,0,0
"H6PD",529,420,559,380,489,482
"SPSB1",984,976,1410,868,892,818
"LINC02606",0,8,10,6,0,0
"SLC25A33",821,983,1255,715,569,634
"RPL9P11",0,2,1,2,0,0
"TMEM201",2524,2359,3241,2153,2319,2499
"LOC105376712",0,0,0,0,0,0
"PIK3CD",59,46,83,38,32,62
"PIK3CD-AS1",0,0,0,0,0,0
"PIK3CD-AS2",28,22,18,12,10,8
"CLSTN1",3051,3028,4461,3437,3461,3531
"MZT1P1",2,0,0,0,0,2
"CTNNBIP1",186,185,205,208,202,155
"LOC105376717",0,0,0,0,0,0
"LZIC",1426,1156,1790,1343,1222,1312
"NMNAT1",165,85,114,106,76,123
"TMEM274P",2,0,0,0,0,0
"MIR5697",0,0,0,0,0,0
"RBP7",50,48,66,20,26,16
"UBE4B",1200,1269,1974,1573,1759,2004
"RPL21P21",0,0,0,0,0,0
"KIF1B",2306,1946,3359,2173,3026,3218
"RNU6-37P",13,5,6,0,0,1
"LOC105376725",18,4,18,0,0,0
"PGD",5777,6649,8401,7364,6384,6696
"CENPS",203,51,154,71,58,36
"CENPS-CORT",1,0,0,1,2,0
"CORT",5,8,0,0,0,0
"DFFA",9058,5109,9037,5211,4334,4685
"PEX14",537,455,641,595,473,537
"RN7SL614P",0,0,0,0,0,0
"CASZ1",605,424,792,441,593,637
"LOC105376733",0,0,0,0,0,0
"LOC105376735",0,0,0,0,0,0
"C1orf127",0,0,0,2,0,0
"CFL1P6",0,0,0,0,0,0
"TARDBP",5982,5075,7988,6335,5913,6103
"MASP2",14,10,15,9,14,3
"SRM",6623,5417,8429,5030,4173,5028
"EXOSC10",1508,1551,2583,1976,2273,2629
"EXOSC10-AS1",19,5,8,12,8,3
"MTOR",1523,1422,2477,1812,2232,2463
"MTOR-AS1",0,0,0,0,0,0
"RNU6-537P",0,0,0,0,0,0
"ANGPTL7",9,2,6,2,2,5
"RPL39P6",0,0,0,2,0,0
"UBIAD1",1299,1081,1525,932,962,1055
"UBE2V2P3",0,1,2,0,5,2
"LOC105376737",0,0,0,0,0,0
"LOC105376739",0,0,0,0,0,0
"LOC105376740",0,0,0,0,0,0
"DISP3",0,2,0,0,2,1
"LOC112268221",0,0,0,0,0,0
"LINC01647",0,0,8,2,0,0
"FBXO2",5848,3240,5685,4677,3389,3374
"FBXO44",445,391,484,448,312,321
"FBXO6",317,280,401,368,304,322
"MAD2L2",1648,1444,1796,1234,941,1081
"DRAXIN",6,2,2,0,2,0
"AGTRAP",466,426,574,495,478,379
"LOC101060126",0,0,0,0,0,0
"C1orf167",0,0,0,0,0,0
"C1orf167-AS1",0,0,0,0,0,0
"MTHFR",529,368,583,324,371,396
"CLCN6",124,82,215,99,158,105
"NPPA-AS1",0,2,1,0,0,0
"NPPA",12,3,10,3,3,2
"NPPB",3887,2125,5376,2433,1728,2483
"SBF1P2",0,0,0,0,0,0
"RNU5E-1",6,0,0,0,2,0
"KIAA2013",1739,1406,2033,1413,1351,1485
"PLOD1",2437,3033,3675,3382,3360,3574
"MFN2",3117,3787,4928,4273,4459,4816
"MIIP",613,432,587,491,375,318
"MIR6729",0,0,0,0,0,0
"TNFRSF8",2,0,2,0,0,4
"RPL23AP89",0,0,0,0,0,0
"TNFRSF1B",427,329,441,392,395,356
"MIR7846",0,0,0,0,0,0
"MIR4632",0,0,0,0,0,0
"LOC107984917",0,0,0,0,0,0
"RPL10P17",0,0,0,0,0,0
"VPS13D",740,491,1091,457,701,769
"SNORA59A",0,4,1,0,2,6
"LINC02766",0,0,0,0,0,0
"DHRS3",1013,958,925,1090,875,1035
"MIR6730",0,0,0,0,0,0
"AADACL4",0,0,0,0,0,0
"AADACL3",0,0,0,0,0,0
"C1orf158",0,0,0,0,0,0
"PRAMEF12",0,0,0,0,0,0
"PRAMEF1",0,0,0,0,0,0
"LINC01784",0,0,0,0,0,0
"PRAMEF11",0,0,0,0,0,0
"PRAMEF30P",0,0,0,0,0,0
"HNRNPCL1",0,0,0,0,0,0
"PRAMEF2",0,0,0,0,0,0
"PRAMEF4",0,0,0,0,0,0
"PRAMEF10",0,0,0,0,0,0
"PRAMEF7",0,0,0,0,0,0
"RNU6-1072P",0,0,0,0,0,0
"PRAMEF6",0,0,0,0,0,0
"PRAMEF28P",0,0,0,0,0,0
"PRAMEF27",0,0,0,0,0,0
"HNRNPCL3",0,0,0,0,0,0
"PRAMEF25",0,0,0,0,0,0
"PRAMEF34P",0,0,0,0,0,0
"PRAMEF35P",0,0,0,0,0,0
"HNRNPCL2",0,0,0,0,0,0
"PRAMEF36P",0,0,0,0,0,0
"PRAMEF26",0,0,0,0,0,0
"HNRNPCL4",0,0,0,0,0,0
"PRAMEF9",0,0,0,0,0,0
"PRAMEF13",0,0,0,0,0,0
"PRAMEF18",0,0,0,0,0,0
"PRAMEF5",0,0,0,0,0,0
"RNU6-771P",0,0,0,0,0,0
"PRAMEF8",0,0,0,0,0,0
"PRAMEF33",0,0,0,0,0,0
"PRAMEF15",0,0,0,0,0,0
"PRAMEF14",0,0,0,0,0,0
"PRAMEF19",0,0,0,0,0,0
"PRAMEF17",0,0,0,0,0,0
"PRAMEF20",0,0,0,0,0,0
"LRRC38",0,0,0,0,0,0
"LOC102724856",0,0,0,0,0,0
"LOC107984918",0,0,0,0,0,0
"BRWD1P1",0,0,0,0,0,0
"PDPN",10,0,0,0,4,0
"LOC107984919",0,0,0,0,0,0
"LOC105378612",0,0,0,0,0,0
"LOC105376756",2,0,0,0,0,0
"PRDM2",603,524,1018,468,668,767
"KAZN",55,45,60,54,42,44
"LOC107985467",0,0,0,0,0,0
"LOC107985468",0,0,0,0,0,0
"KAZN-AS1",2,0,0,0,0,0
"TBCAP2",0,0,2,0,0,0
"LOC105376759",0,0,0,0,0,0
"LOC107985469",0,0,0,0,0,0
"TMEM51-AS1",4,0,4,2,1,1
"TMEM51",1497,981,1351,892,779,834
"C1orf195",20,3,7,1,3,1
"MFFP1",6,1,0,0,0,0
"FHAD1",2,2,2,4,2,0
"FHAD1-AS1",0,0,0,0,0,0
"LOC101927441",8,2,6,2,0,2
"EFHD2",1816,1606,2038,1778,1592,1738
"CTRC",0,0,0,2,0,0
"CELA2A",4,0,4,0,4,6
"LOC105376767",0,0,0,0,0,0
"CELA2B",2,0,3,0,0,1
"CASP9",174,183,234,207,174,195
"DNAJC16",635,426,686,477,651,664
"SCARNA21B",0,0,0,0,2,0
"AGMAT",3557,2967,3882,3323,3141,3100
"CHCHD2P6",15,8,16,6,4,8
"CD24P1",0,0,0,0,0,0
"DDI2",1341,674,1316,902,1264,1220
"RSC1A1",0,0,0,0,0,0
"PLEKHM2",2384,2215,3447,2240,2192,2301
"SLC25A34",6,4,0,4,5,2
"SLC25A34-AS1",0,0,0,0,0,0
"TMEM82",176,143,190,197,136,194
"FBLIM1",512,555,824,651,560,618
"RPL12P14",33,50,51,33,19,12
"UQCRHL",182,148,202,154,172,138
"RPS16P1",12,26,20,12,16,16
"FLJ37453",174,86,162,88,82,84
"SPEN",2894,1771,4688,1635,3018,3163
"ZBTB17",572,469,720,426,471,402
"SRARP",2,0,0,0,0,0
"HSPB7",0,0,0,0,0,0
"CLCNKA",2,0,0,0,0,0
"LOC440568",0,0,0,0,0,0
"CLCNKB",0,0,0,0,0,0
"FAM131C",2,0,2,2,0,0
"EPHA2",4103,4285,6824,3656,3698,4479
"LOC101927479",237,138,280,118,151,184
"ARHGEF19",245,245,217,178,141,201
"ANO7L1",6,6,10,8,2,20
"CPLANE2",27,46,59,78,27,55
"MT1XP1",2,2,2,0,1,0
"FBXO42",589,651,972,626,664,757
"SZRD1",1410,1856,2225,2057,2102,2346
"RPL22P3",1,0,2,0,2,1
"SPATA21",4,2,4,2,0,2
"NECAP2",897,889,1178,1070,1000,1016
"LINC01772",17,2,10,0,0,0
"CROCCP3",8,0,8,8,0,4
"RNU1-1",1,2,2,0,0,0
"TRN-GTT5-1",0,0,0,0,0,0
"LINC01783",0,0,0,0,0,2
"TRE-TTC4-1",0,0,0,0,0,0
"TRG-CCC1-1",4,0,0,0,0,0
"LOC100421267",0,0,0,0,0,0
"NBPF1",107,123,193,161,292,282
"LOC105376794",39,22,51,16,17,30
"CROCCP2",20,11,32,38,29,19
"MST1P2",6,4,16,2,6,10
"LOC107985736",1,4,0,2,0,2
"RNU1-3",0,0,0,0,0,0
"TRG-CCC4-1",0,0,0,0,0,0
"EIF1AXP1",792,308,590,328,290,278
"ESPNP",0,0,2,0,0,0
"TRG-CCC5-1",0,0,0,0,0,0
"RNU1-4",0,0,0,0,0,0
"CROCCP4",0,0,0,0,0,0
"MST1L",4,0,0,2,0,2
"LOC100421279",0,0,0,0,0,0
"MIR3675",0,0,0,0,0,0
"TRG-CCC1-2",0,0,0,0,0,0
"LOC112267871",2,4,0,2,0,0
"TRE-TTC3-1",0,0,0,0,0,0
"TRN-GTT13-1",0,0,0,0,0,0
"LOC107985101",0,0,0,0,0,0
"LOC105376805",4,1,3,1,3,1
"TRN-GTT4-1",0,0,0,0,0,0
"RNU1-2",0,0,0,0,0,0
"CROCC",137,90,185,86,81,94
"MFAP2",45,53,44,82,69,60
"LOC105376806",1,0,0,0,0,0
"ATP13A2",1350,1565,1960,2092,2128,2335
"SDHB",2485,2416,3337,2717,2358,2752
"PADI2",14,24,18,38,43,22
"LOC105376808",1,2,0,0,0,0
"LINC02783",0,0,0,0,0,0
"PADI1",4,2,0,0,0,4
"PADI3",0,0,0,0,0,0
"MIR3972",0,0,0,0,0,0
"PADI4",0,0,0,0,0,0
"PADI6",0,0,0,0,0,0
"RCC2",0,0,0,0,0,0
"ARHGEF10L",262,229,397,346,277,311
"LINC02810",0,0,0,0,0,0
"ACTL8",0,6,16,8,6,2
"LOC105376809",1,0,0,0,0,0
"LOC105376812",0,0,0,0,0,0
"LINC01654",0,0,4,0,0,0
"IGSF21",0,0,6,6,0,0
"IGSF21-AS1",0,0,0,0,0,0
"KLHDC7A",144,152,292,198,198,197
"DYNLL1P3",0,0,0,0,0,0
"PAX7",0,0,0,0,0,0
"TAS1R2",0,0,0,0,0,0
"ALDH4A1",677,742,1081,866,830,886
"MIR4695",0,0,0,0,0,0
"MIR1290",0,0,0,0,0,0
"IFFO2",2752,2413,4952,2278,2698,2900
"LOC105376815",2,0,0,4,0,2
"UBR4",5175,3761,8732,4118,5930,7460
"EMC1-AS1",0,2,0,0,2,8
"EMC1",2798,2738,3532,3259,3378,3445
"MRTO4",9466,6069,9519,5664,4152,4584
"AKR7L",10,4,4,0,0,6
"AKR7A3",22,16,22,20,20,12
"LOC100506730",22,18,34,2,16,9
"AKR7A2",1968,2016,2356,2040,1802,2048
"RNU6-1099P",0,0,5,2,0,1
"SLC66A1",1547,1301,1870,1366,950,1189
"CAPZB",6846,6292,9870,7689,6045,6933
"RN7SL277P",0,0,4,0,0,0
"LOC105376819",0,0,0,6,0,0
"LOC105376818",0,0,0,0,0,0
"LOC105376817",0,0,0,0,0,0
"LOC105378614",1,0,2,0,0,0
"MICOS10",2087,1178,2210,1327,1041,903
"MICOS10-NBL1",0,0,0,0,0,0
"RPS14P3",80,54,90,48,24,18
"NBL1",0,6,0,0,2,0
"HTR6",0,0,2,0,0,0
"TMCO4",446,541,826,549,525,595
"RNF186",6,8,8,2,2,6
"LOC105376823",10,9,14,0,6,6
"OTUD3",522,597,848,470,612,679
"PLA2G2E",2,0,4,2,0,0
"PLA2G2A",3156,2945,3546,2776,2451,2409
"PLA2G5",2,0,4,0,0,0
"PLA2G2D",4,0,0,0,0,0
"PLA2G2F",0,0,0,0,0,0
"LOC117779438",0,0,0,0,0,0
"PLA2G2C",0,0,0,0,0,0
"UBXN10",2,8,6,2,4,2
"UBXN10-AS1",0,0,0,0,2,0
"LOC105376825",0,0,0,0,0,0
"LOC105376826",0,0,0,0,0,0
"LINC01757",0,0,0,0,0,0
"LOC105376828",0,0,0,0,0,0
"VWA5B1",0,0,0,0,0,0
"LINC01141",0,0,0,0,0,0
"CAMK2N1",2151,1148,1636,1231,1105,1238
"MUL1",1034,1180,1466,1248,1149,1278
"RPS4XP4",0,0,0,0,0,0
"FAM43B",0,0,0,0,0,0
"CDA",34,60,73,40,50,48
"PINK1",51,85,86,116,135,136
"MIR6084",0,0,0,0,0,0
"PINK1-AS",87,48,70,37,61,42
"DDOST",4652,6703,7776,7665,7189,7407
"KIF17",109,127,266,108,99,127
"SH2D5",262,200,350,268,216,294
"HP1BP3",1864,1749,2419,1964,2396,2565
"EIF4G3",1326,991,1991,1262,1472,1611
"LOC105376830",25,6,16,2,4,6
"LOC105376829",5,0,1,2,6,0
"MIR1256",1,0,0,0,0,0
"RPS15AP6",8,2,6,0,0,0
"ECE1",3117,2820,4691,3417,3672,3859
"ECE1-AS1",5,2,2,0,2,0
"PPP1R11P1",0,0,0,0,0,0
"LOC100421269",0,0,0,0,0,0
"LOC105376832",0,0,0,0,0,0
"HS6ST1P1",2,0,0,2,0,8
"CROCCP5",0,0,0,0,0,0
"NBPF3",102,131,222,196,153,183
"PFN1P10",2,0,0,0,0,1
"ALPL",4,2,6,2,0,0
"LINC02596",0,0,0,0,0,0
"RAP1GAP",222,262,302,214,212,253
"USP48",1230,854,1483,907,881,955
"LDLRAD2",5,0,0,0,0,0
"HSPG2",1980,2268,4702,2581,4547,5613
"RPL21P29",0,0,0,0,4,0
"CELA3B",0,1,0,0,0,0
"CELA3A",0,0,2,0,0,0
"LINC01635",2,3,10,8,0,0
"LINC00339",96,101,181,144,112,122
"CDC42-AS1",5,0,0,0,0,0
"CDC42",7534,9273,11998,9807,8932,9557
"MPHOSPH6P1",0,4,0,2,1,0
"WNT4",17,4,24,4,10,6
"LOC105376845",7,1,12,0,2,0
"LOC105376850",2,4,2,0,0,1
"LOC107985377",0,2,0,0,0,0
"MIR4418",0,0,0,0,0,0
"LOC105376856",23,18,62,22,18,22
"ZBTB40",651,495,962,588,799,757
"EPHA8",8,4,6,6,0,4
"MIR6127",0,0,0,0,0,0
"C1QA",10,0,8,0,0,0
"C1QC",8,0,6,0,0,0
"C1QB",10,0,18,0,0,0
"EPHB2",172,130,195,189,191,210
"MIR4684",0,0,0,0,0,0
"MIR4253",0,0,0,0,0,0
"LACTBL1",0,0,0,0,0,0
"TEX46",0,2,0,0,0,0
"KDM1A",3816,3310,4712,3191,3299,3104
"MIR3115",0,0,0,0,0,0
"LUZP1",1296,886,1526,778,924,1202
"HTR1D",82,93,111,98,91,80
"RPL29P6",0,0,0,0,0,0
"LINC01355",0,0,0,0,0,0
"HNRNPR",14,34,38,46,68,90
"ZNF436",0,0,0,0,0,0
"ZNF436-AS1",0,0,0,0,0,0
"TCEA3",10,6,4,4,10,4
"ASAP3",0,0,0,0,0,0
"E2F2",2,4,9,1,3,4
"LOC101928163",0,0,0,0,0,0
"LOC105376859",0,0,0,0,0,0
"ID3",0,0,0,0,0,0
"LOC107984928",0,0,0,0,0,0
"MDS2",0,0,0,0,0,0
"RPL11",70424,35202,70353,31208,19415,19646
"ELOA",1648,1227,2142,1215,1311,1440
"ELOA-AS1",11,2,1,4,7,5
"PITHD1",1576,1484,2069,1154,996,1034
"LOC105376860",0,1,0,0,0,0
"LYPLA2",2086,1782,2494,2056,1685,1995
"GALE",1709,1989,2502,2130,1775,2070
"HMGCL",563,539,612,737,576,586
"LOC105376861",0,0,0,0,2,2
"FUCA1",615,712,771,798,902,832
"CNR2",0,0,0,0,0,0
"BTBD6P1",0,0,0,0,0,0
"LOC107984929",0,0,0,0,0,0
"MIR378F",0,0,0,0,0,0
"PNRC2",2804,2881,4219,3386,3078,3579
"SRSF10",4048,3247,5073,4000,3965,3922
"LOC105378615",0,0,0,0,0,0
"RPL36P5",0,0,0,0,0,0
"LOC105376863",14,16,10,17,2,4
"LOC107984931",0,0,0,0,0,0
"MYOM3",30,38,93,43,81,53
"MYOM3-AS1",0,0,2,0,0,0
"LOC105376864",2,4,0,2,0,0
"IL22RA1",338,329,520,381,348,439
"IFNLR1",497,455,735,380,474,577
"LINC02800",0,0,0,0,0,0
"GRHL3-AS1",0,0,0,0,0,0
"GRHL3",16,6,8,0,8,0
"STPG1",162,169,252,210,212,238
"NIPAL3",186,182,213,229,215,234
"RCAN3AS",0,0,0,0,2,0
"RCAN3",285,253,419,322,429,400
"NCMAP-DT",0,0,4,0,0,0
"NCMAP",0,12,9,5,2,1
"SRRM1",8766,2826,6716,2816,3231,3158
"CLIC4",1917,2454,3105,4115,5229,5881
"LOC105376876",0,0,0,0,2,0
"RUNX3",180,133,205,70,94,78
"MIR6731",0,0,0,0,0,0
"LOC107984932",0,0,5,0,0,2
"RUNX3-AS1",6,0,0,0,0,0
"MIR4425",0,0,0,0,0,0
"LINC02793",0,0,0,0,0,0
"IFITM3P7",0,0,0,0,0,0
"SYF2",1506,512,1260,708,566,602
"RSRP1",180,125,269,143,159,146
"LOC105376882",0,0,0,0,0,0
"RHD",4,0,0,0,0,0
"SDHDP6",0,8,2,2,2,3
"TMEM50A",448,590,882,800,728,711
"RHCE",2,4,2,0,6,6
"SDHDP7",0,6,2,2,10,12
"MACO1",454,408,600,444,379,472
"LDLRAP1",211,186,259,286,211,238
"MAN1C1",2,34,18,8,10,10
"SELENON",608,537,856,730,707,857
"MTFR1L",168,139,124,122,101,129
"LOC646471",10,2,1,1,4,8
