"","SKA03_36","SKA03_38","SKA03_39","SKA03_56","SKA03_58","SKA03_59"
"LOC100420464",0,0,0,0,0,0
"LOC101927636",0,0,0,0,0,0
"GYPB",0,0,0,0,0,0
"LOC105377460",0,0,0,0,0,0
"GYPA",0,0,0,0,0,0
"LOC107986317",0,0,0,0,0,0
"LOC105377461",0,0,0,0,0,0
"LOC105377462",0,0,0,0,0,0
"KRT18P51",0,0,0,0,0,0
"HHIP-AS1",0,0,0,0,2,0
"HHIP",0,0,0,2,0,0
"HSPD1P5",0,2,4,0,0,0
"ANAPC10",364,309,361,333,404,392
"ABCE1",5826,5313,5401,4634,5030,4093
"OTUD4",1486,1360,1284,1306,1304,1126
"LOC105377465",0,0,0,0,0,0
"LINC02266",4,6,2,10,29,40
"RTN3P1",2,2,0,4,2,4
"NMNAT1P4",0,0,0,0,0,0
"SMAD1",201,202,240,456,445,509
"SMAD1-AS2",0,0,0,0,0,0
"SMAD1-AS1",0,0,0,0,0,0
"LOC285422",0,0,0,0,0,0
"LINC02491",0,0,0,0,0,0
"MMAA",130,98,114,178,202,208
"NCOA4P3",0,0,0,0,0,4
"C4orf51",1,0,0,0,2,0
"ZNF827",139,148,185,96,165,203
"LOC105377468",0,0,0,0,0,6
"LOC105377469",0,0,0,0,0,0
"LINC01095",0,0,0,2,0,1
"LOC105377470",0,0,0,0,0,0
"LSM 6.00",819,863,720,905,951,964
"REELD1",2,0,0,0,2,0
"SLC10A7",296,328,385,277,344,313
"LOC105377472",4,0,0,0,0,0
"MIR7849",0,0,0,0,0,0
"POU4F2",0,0,0,0,0,0
"TTC29",0,0,0,0,0,0
"LOC105377474",0,0,0,0,0,0
"LOC105377473",0,0,0,0,0,0
"LOC105377475",0,0,0,0,0,0
"LOC100996262",0,0,0,0,0,0
"LOC105377476",0,0,0,0,0,0
"MIR548G",0,0,0,0,0,0
"RPL31P26",0,0,0,0,0,0
"PRMT5P1",0,0,0,0,0,0
"EDNRA",10,14,6,14,22,22
"GTF2F2P1",0,0,0,0,0,0
"LOC105377478",0,0,0,2,0,0
"LINC02507",0,0,0,0,0,0
"TMEM184C",1060,1137,1007,1256,1466,1178
"PRMT9",324,264,313,329,380,330
"ARHGAP10",1133,1245,1390,1188,1227,1172
"MIR4799",0,0,0,0,0,0
"NR3C2",8,6,20,10,8,16
"LOC102724672",0,0,0,0,0,0
"ASS1P8",0,0,0,0,0,0
"LOC107986195",0,0,0,0,0,0
"LOC105377483",0,0,0,0,0,0
"ATP5MGP4",0,0,0,0,0,0
"LOC105377481",0,0,0,0,0,0
"LOC105377480",0,0,0,0,0,0
"LINC02430",0,0,0,0,0,0
"LINC02355",0,0,0,0,0,0
"LOC107986320",0,0,0,0,0,0
"IQCM",2,0,0,0,2,3
"LOC105377479",0,0,0,0,0,0
"AKIRIN2P1",0,0,0,0,0,0
"DCLK2",23,34,10,47,40,42
"LRBA",3410,3448,3540,3943,5086,3899
"LOC100419161",0,0,0,0,0,0
"LOC729558",0,8,0,0,2,0
"MAB21L2",1,0,0,0,0,0
"ZBTB8OSP1",0,0,0,0,0,1
"AK4P6",0,0,0,0,0,0
"RPS3A",34096,36125,34896,54042,48093,55556
"SNORD73B",0,1,2,1,0,0
"SNORD73A",0,0,0,0,0,0
"SH3D19",2283,2147,2245,2575,2451,2524
"LOC107986196",10,13,8,8,11,10
"LOC105377485",3,0,0,2,6,5
"PRSS48",2,0,0,1,4,0
"FAM160A1-DT",12,8,12,7,20,4
"FAM160A1",399,422,427,430,488,421
"GATB",896,968,833,1127,1269,1315
"LOC107986197",2,2,6,0,18,4
"LOC105377488",0,0,0,0,0,0
"LOC102724700",0,0,0,0,0,0
"LOC100505685",0,0,0,2,0,0
"LINC02273",2,0,0,4,0,0
"LOC105377490",0,0,0,0,0,0
"LOC105377489",0,0,0,0,0,0
"LOC105377492",0,0,0,0,0,0
"FBXW7",531,392,394,320,337,321
"FBXW7-AS1",0,0,2,0,0,0
"MIR3140",0,0,0,0,0,0
"MIR4453HG",14,18,16,22,24,28
"MIR4453",0,0,0,0,0,0
"RPS3AP18",0,0,0,0,0,0
"RPS14P6",0,0,0,0,0,0
"TMEM154",2,0,4,20,6,4
"LOC105377495",0,0,0,0,0,0
"TIGD4",0,2,6,2,2,11
"ARFIP1",1438,1563,1302,1715,1872,1600
"NSA2P6",2,0,0,0,2,0
"FAM192BP",2,4,0,0,0,0
"LOC729870",6,2,4,4,2,4
"FHDC1",12,22,46,38,52,32
"TRIM2",2017,2308,2342,3006,3969,2845
"LOC105377496",2,0,0,6,2,2
"ANXA2P1",1,10,2,8,6,2
"MND1",474,469,557,520,484,459
"TMEM131L",1202,1262,1264,1237,1266,1093
"LOC105377498",1,2,0,0,0,0
"LOC100419170",2,0,0,0,0,0
"WDR45P1",0,0,0,0,0,0
"TLR2",160,206,270,314,349,370
"RNF175",0,0,0,0,0,0
"LOC105377499",0,0,4,0,0,0
"SFRP2",0,0,0,0,0,0
"LOC101927947",0,0,0,0,0,0
"DCHS2",0,0,0,0,0,0
"LOC100128050",0,0,0,0,0,0
"PLRG1",2121,2234,2198,2299,2269,2035
"LOC100422640",0,0,0,0,0,0
"FGB",272,206,270,304,308,308
"FGA",652,801,705,763,794,1046
"FGG",860,1000,1018,1094,1032,1492
"LRAT",0,0,0,0,2,0
"LOC105377500",0,0,0,0,0,0
"RBM46",0,0,0,0,4,0
"LOC105377501",0,0,0,0,0,0
"NPY2R",1,0,2,0,0,0
"LOC107986321",0,0,0,0,0,0
"LOC105377502",0,0,2,0,0,0
"MAP9",0,0,0,0,0,0
"LOC102724776",0,0,0,0,0,0
"LOC105377503",0,0,0,0,0,0
"LOC105377505",0,0,0,0,0,0
"LOC105377504",0,0,0,0,0,0
"GUCY1A1",0,0,0,0,0,0
"LOC107984032",0,0,0,0,0,0
"LOC105377506",0,0,0,0,0,0
"GUCY1B1",0,0,0,0,0,0
"ASIC5",0,0,0,0,0,0
"LOC105377507",0,0,0,0,0,0
"TDO2",0,0,0,0,0,0
"CTSO",0,0,0,0,0,0
"FTH1P21",0,0,0,0,0,0
"LOC102724785",0,0,0,0,0,0
"LOC105377508",0,0,0,0,0,0
"LINC02272",0,0,0,0,0,0
"PDGFC",420,506,446,526,532,558
"GLRB",2,0,0,0,0,0
"RNU6-582P",0,0,0,0,0,0
"LOC391707",0,0,0,0,0,0
"GRIA2",0,8,0,0,0,0
"LOC112268471",0,0,0,0,0,0
"LOC107986238",0,0,0,0,0,0
"LINC02433",0,0,0,0,0,0
"LOC105377509",0,2,6,0,0,0
"GASK1B",554,423,394,386,379,365
"FAM198B-AS1",93,71,91,69,129,68
"LOC101928007",1,2,0,0,0,0
"TMEM144",311,334,277,366,413,422
"AIDAP2",0,0,0,0,0,0
"LOC105377510",0,0,0,0,0,0
"LOC100131038",0,0,0,0,0,0
"RXFP1",4,2,2,0,2,0
"C4orf46",540,550,576,480,567,504
"ETFDH",269,308,292,467,541,547
"PPID",747,826,733,913,1097,965
"FNIP2",636,698,746,663,725,606
"C4orf45",2,0,0,0,0,0
"PSME2P3",0,0,0,0,0,0
"FABP5P12",0,0,0,0,0,0
"RAPGEF2",1646,1439,1581,1345,1647,1225
"MIR3688-1",0,0,0,0,0,0
"MIR3688-2",0,0,0,0,0,0
"LOC107986324",0,0,0,0,0,0
"LOC105379457",0,4,0,0,0,9
"LINC02233",0,0,0,0,0,0
"LOC107986239",0,0,0,0,0,0
"LINC02477",0,0,0,0,0,0
"LOC105377513",0,0,0,0,0,0
"LOC105377514",0,0,0,0,0,0
"LOC105377515",0,0,0,0,0,0
"FSTL5",68,97,66,70,78,96
"LOC101928052",0,0,0,0,0,0
"MTHFD2P4",0,0,0,0,0,0
"LOC105377516",0,0,0,0,0,0
"MIR4454",0,0,0,0,0,0
"NAF1",587,664,661,587,592,623
"LOC101928081",7,2,0,0,4,1
"LOC105377517",0,0,0,0,0,0
"LOC133332",0,0,0,0,0,0
"NPY1R",2,0,0,2,0,0
"NPY5R",1,0,0,0,0,0
"TKTL2",0,1,0,0,0,0
"TMA16",401,401,471,380,382,418
"MARCHF1",26,30,34,56,57,62
"LOC107986325",0,2,0,0,0,0
"YWHAQP4",0,0,0,0,0,0
"LOC100288073",2,0,0,2,4,0
"ANP32C",0,0,0,0,2,0
"CHORDC1P3",0,0,0,0,0,0
"SMIM31",4,0,4,4,0,12
"APELA",218,204,254,487,481,588
"RPL26P16",0,0,0,0,0,0
"FAM218BP",0,0,0,0,0,0
"NACA3P",2,4,6,4,6,6
"TRIM61",0,0,0,0,0,0
"FAM218A",0,0,0,0,0,0
"RPL21P51",0,0,0,0,0,0
"TRIM60",0,0,0,0,0,0
"TMEM192",745,570,688,696,757,786
"KLHL2",486,404,446,342,395,277
"GK3P",3,0,2,0,4,0
"MSMO1",4627,4411,5167,6140,5718,5852
"LOC105377519",0,0,0,0,0,0
"CPE",2,0,0,20,4,18
"MIR578",0,0,0,0,0,0
"HADHAP1",0,0,0,0,0,0
"LOC105377520",0,0,0,0,0,0
"NOL8P1",0,0,0,0,0,0
"LOC646995",0,0,0,0,0,0
"LINC01179",0,0,0,0,0,0
"LOC101928131",0,0,0,0,0,0
"LOC105377521",0,0,0,0,0,0
"TLL1",98,72,78,130,144,132
"SPOCK3",0,0,0,0,0,0
"PHBP14",0,0,0,0,0,0
"LOC105377523",0,0,0,0,0,0
"ANXA10",10,14,26,28,16,50
"LOC105377524",0,1,0,0,0,0
"DDX60",22,66,48,28,48,46
"DDX60L",2,10,14,2,14,4
"LOC107986198",0,0,0,0,0,0
"PALLD",92,99,96,75,80,41
"BTF3L4P4",0,0,0,0,0,0
"PALLD-AS1",0,0,0,0,0,0
"RPL9P16",0,0,0,0,0,0
"LOC102723331",1,6,6,0,0,0
"CBR4",454,520,494,692,773,715
"LOC107986200",0,0,0,0,0,0
"LOC105377527",0,0,2,0,0,0
"SH3RF1",1443,1413,1293,1013,952,904
"RPL6P12",0,0,0,0,0,0
"LOC105377529",0,0,0,0,0,0
"NEK1",248,273,274,263,274,248
"CLCN3",1724,1795,1744,1982,1933,1713
"HPF1",508,478,556,682,688,820
"LOC107986240",0,0,0,4,0,0
"PTGES3P3",2,2,0,2,2,0
"LOC402192",0,0,0,0,0,0
"LOC105377530",2,0,0,0,0,0
"LINC02275",0,0,0,0,0,4
"MFAP3L",48,51,55,31,85,44
"AADAT",99,133,123,100,102,72
"LOC107986326",1,0,0,0,3,0
"LINC01612",0,10,4,8,8,6
"LINC02512",0,0,0,0,0,0
"HSP90AA6P",6,0,0,0,2,0
"LINC02382",0,0,0,0,0,0
"LINC02431",0,0,0,0,0,0
"LOC101929135",0,0,0,0,0,0
"MIR6082",0,0,0,0,0,0
"LOC105377534",0,0,0,0,0,0
"LINC02504",0,0,0,0,0,0
"LOC105377535",0,0,0,2,0,0
"LINC02174",0,0,0,0,0,0
"LOC441052",0,0,0,0,0,0
"GALNTL6",0,0,0,0,0,0
"LOC105377537",0,0,0,0,0,0
"LOC100506133",0,0,0,0,0,0
"GALNTL6-AS1",0,0,0,0,0,2
"LOC107986201",0,0,0,0,0,0
"LOC101930370",18,33,41,25,31,18
"GALNT7",1282,1248,1225,1225,1252,761
"MIR548T",0,0,0,0,0,0
"HMGB2",6680,6368,6281,6709,7162,6467
"LOC105377541",4,3,2,0,4,3
"SAP30-DT",6,15,8,11,8,20
"SAP30",203,224,192,242,270,187
"LOC101928383",2,0,0,0,0,0
"SCRG1",0,0,0,0,0,0
"LOC112268474",0,0,0,0,0,0
"RPL5P11",2,0,0,0,0,0
"LOC107986202",0,0,0,0,0,0
"LOC112267917",0,0,0,0,0,0
"LOC101928409",0,0,0,0,0,0
"HAND2",0,0,0,0,0,0
"HAND2-AS1",0,0,0,0,0,0
"MORF4",2,0,0,2,2,0
"RANP6",2,0,0,0,0,0
"LOC107986203",0,0,0,0,0,0
"LINC02269",0,0,0,0,0,0
"LOC105377543",0,0,0,0,0,0
"LOC105377544",0,0,0,0,0,0
"LOC105377546",0,0,0,0,0,0
"LOC107986204",0,0,0,0,0,0
"LINC02268",0,0,0,0,0,0
"FBXO8",192,220,212,276,317,284
"CEP44",318,307,275,370,380,326
"LOC105377547",2,0,0,2,6,6
"MIR4276",0,0,0,0,0,0
"HPGD",3250,3121,2558,4037,3776,3370
"LOC105377548",43,49,42,57,81,70
"LOC105377549",0,0,0,0,2,2
"LOC105377551",0,0,0,0,0,0
"GLRA3",0,0,0,0,0,0
"LOC101928551",0,0,0,0,0,0
"ADAM29",0,0,0,0,0,0
"LOC105377552",0,0,0,0,0,0
"TSEN2P1",0,0,0,0,0,0
"GPM6A",0,0,0,0,0,0
"LOC101928590",0,0,0,0,0,0
"LOC107984113",0,0,0,0,0,0
"WDR17",8,18,47,14,36,36
"SPATA4",0,6,0,0,0,0
"ASB5",0,0,0,0,0,0
"SPCS3",1717,1696,1669,1921,1946,1910
"LOC105377555",0,0,0,0,0,0
"VEGFC",0,2,1,0,0,0
"LINC02509",0,0,0,0,0,0
"LOC105377557",0,2,0,0,0,0
"NEIL3",446,400,401,497,413,319
"LOC105377558",8,0,2,0,3,0
"AGA",358,347,408,487,508,595
"LOC285500",0,2,4,0,1,4
"RNA5SP172",0,0,0,0,0,0
"LOC105377559",0,4,0,0,0,0
"LINC01098",0,0,0,0,0,0
"LOC105377560",0,0,0,0,0,0
"LINC01099",0,0,0,0,0,0
"LOC105377561",0,0,0,0,0,0
"LOC105377562",0,0,0,0,0,0
"RPL19P8",0,0,0,0,0,0
"LOC105377563",0,0,0,0,0,0
"LOC105377564",0,0,0,0,0,0
"LOC105377567",0,0,0,0,0,0
"LOC105377565",0,0,0,0,0,0
"LOC105377568",0,0,0,0,0,0
"LINC00290",0,0,0,0,0,0
"LINC02500",0,0,0,0,0,0
"LOC107986205",0,0,0,0,0,0
"TENM3",2251,2173,2292,2298,2833,2321
"LOC132386",2,4,0,2,2,12
"TEMN3-AS1",0,0,0,0,0,0
"CCNHP1",0,0,0,0,0,0
"TENM3-AS1",641,680,666,718,758,737
"MIR1305",2,0,0,0,0,3
"LOC105377572",15,4,0,4,4,6
"LOC105377571",16,2,2,6,6,6
"LOC105377576",45,29,54,51,80,48
"DCTD",2084,2030,2034,2458,2290,2153
"LOC105377577",0,0,0,0,0,0
"LOC107986327",0,0,0,0,0,0
"LOC112268472",0,0,0,0,0,0
"LOC100132090",0,0,0,0,0,0
"LOC107986328",0,0,0,0,0,0
"CIBAR1P2",0,0,0,0,0,0
"LOC105377578",0,0,1,0,0,0
"WWC2-AS2",12,28,14,10,6,14
"WWC2",2897,2436,2370,1816,2055,1616
"WWC2-AS1",0,0,0,0,0,0
"CLDN22",0,0,0,0,0,0
"CLDN24",2,0,0,0,0,0
"LOC107986217",0,0,0,1,0,0
"LOC100533630",0,0,0,4,0,0
"CDKN2AIP",480,446,442,588,624,607
"VTI1BP2",0,0,2,0,0,0
"LOC389247",4,9,13,7,13,8
"ING2",220,273,257,335,363,318
"LOC101929996",0,0,0,0,0,0
"LOC105377579",0,0,0,0,0,0
"LOC105377580",0,0,0,0,0,0
"LOC107986329",0,0,0,0,0,0
"RWDD4",315,334,349,362,390,390
"TRAPPC11",552,588,756,728,882,728
"LOC105377581",2,6,2,0,0,0
"STOX2",2,8,4,0,0,0
"LOC107986330",0,0,0,0,0,0
"LOC100421006",0,0,0,0,0,0
"ENPP6",0,0,0,0,0,0
"LOC105377582",0,0,0,0,0,0
"LOC105377584",0,0,0,0,0,0
"MYL12BP2",0,0,0,0,0,4
"LINC02363",4,0,0,9,4,12
"LOC107986332",0,0,0,0,0,0
"LINC02362",1,0,2,2,1,2
"IRF2",706,807,783,1208,1254,1108
"LINC02427",0,0,0,2,0,0
"LOC100129245",0,0,0,0,0,0
"LINC02365",19,23,16,20,35,45
"CASP3",1592,1909,1772,2419,2576,2472
"PRIMPOL",215,246,293,319,286,254
"CENPU",684,743,686,587,596,620
"ACSL1",100,90,94,146,180,162
"SLED1",0,0,0,0,0,0
"LOC105377587",0,0,0,0,0,0
"MIR3945HG",0,0,0,0,0,0
"MIR3945",0,0,0,0,0,0
"LINC01093",0,0,0,0,0,0
"MIR4455",0,0,0,0,0,0
"LINC02437",0,0,0,0,0,0
"HELT",0,0,0,0,0,0
"LINC02436",0,0,0,0,0,0
"LOC105377588",0,0,0,0,0,0
"SLC25A4",1337,1505,1184,1601,1611,1492
"CFAP97",1089,1168,1291,1118,1246,1055
"SNX25",784,754,723,926,956,867
"LRP2BP",15,18,14,25,7,10
"LOC107986206",2,0,8,7,4,12
"ANKRD37",0,1,0,3,0,0
"UFSP2",891,838,861,1111,1005,1084
"C4orf47",4,2,3,4,4,3
"CCDC110",2,2,14,4,2,0
"LOC105377590",0,1,1,0,0,2
"PDLIM3",29,20,14,28,24,10
"SORBS2",837,853,1040,1543,1599,1635
"LOC101928929",0,0,0,0,0,0
"TLR3",0,2,0,0,0,2
"FAM149A",11,2,10,12,2,2
"FLJ38576",0,0,0,0,0,4
"CYP4V2",68,160,140,139,207,180
"KLKB1",0,4,0,4,6,2
"F11",0,0,2,0,0,0
"F11-AS1",0,0,0,0,0,0
"SLC25A5P6",0,0,0,0,0,0
"LOC105377596",0,0,0,0,0,0
"MTNR1A",0,10,0,0,0,4
"FAT1",7333,5926,5785,8149,10218,7188
"LOC107986334",20,20,2,16,2,8
"LOC102723906",0,0,0,0,0,0
"LOC105377599",2,0,0,0,0,0
"LINC02374",0,3,0,0,0,0
"LOC107986335",3,0,2,0,0,0
"LOC339975",0,2,0,0,0,0
"LINC02514",0,0,0,0,0,0
"LINC02515",0,0,0,0,0,0
"LOC100652955",0,0,0,0,0,0
"LOC107986336",0,0,0,0,0,0
"LINC02492",0,0,0,0,0,0
"LOC105377604",0,0,0,0,0,0
"LOC105377603",0,0,0,0,0,0
"LOC107983963",0,0,0,0,0,0
"LOC389249",0,0,0,0,0,0
"ZFP42",0,0,0,0,0,0
"TRIML2",5,0,0,0,2,0
"LOC107986337",0,0,0,0,0,0
"TRIML1",0,0,0,0,0,0
"LINC02434",0,0,0,0,0,0
"LOC105377607",0,0,0,0,0,0
"RPL7AP27",0,0,0,0,0,0
"LOC105377608",0,0,0,0,0,0
"ICE2P1",0,0,0,0,0,0
"LOC105377609",0,0,0,0,0,0
"LINC01060",0,0,0,0,0,0
"LOC285442",22,20,27,8,28,19
"LOC101930028",0,0,0,0,0,0
"LINC02508",0,0,0,0,0,0
"LOC105377611",0,0,0,0,0,0
"LOC105377612",0,0,0,0,0,0
"LOC105377613",0,0,0,0,0,0
"LOC105377614",0,0,0,0,0,0
"HSP90AA4P",0,0,0,0,0,0
"LOC105377615",0,0,0,0,0,0
"LINC01262",0,0,0,0,0,0
"LOC105377616",0,0,0,0,0,0
"FRG1-DT",0,0,0,0,0,0
"LOC105377619",0,0,0,0,0,0
"LINC01596",0,0,0,0,0,0
"FRG1",2,0,0,0,2,0
"TUBB7P",0,0,0,0,0,0
"DUX4L9",0,0,0,0,0,0
"FRG2",0,0,0,0,0,0
"RARRES2P4",0,0,0,0,0,0
"AGGF1P1",0,0,0,0,0,0
"DBET",0,0,0,0,0,0
"DUX4L8",0,0,0,0,0,0
"DUX4L7",0,0,0,0,0,0
"DUX4L6",0,0,0,0,0,0
"DUX4L5",0,0,0,0,0,0
"DUX4L4",0,0,0,0,0,0
"DUX4L1",0,0,0,0,0,0
"DUX4L3",0,0,0,0,0,0
"DUX4L2",0,0,0,0,0,0
"LOC107986338",0,0,0,0,0,0
"DUX4",0,0,0,0,0,0
"RPL23AP84",0,0,0,0,0,0
"LOC105374602",0,0,1,0,0,0
"LOC100128803",0,0,0,0,0,0
"PLEKHG4B",172,177,142,124,184,130
"LOC107986394",0,0,0,0,0,0
"LRRC14B",0,0,0,0,0,2
"CCDC127",868,869,902,1062,1141,1194
"SDHA",7184,8066,8487,10312,11108,10645
"HRAT5",24,28,30,29,36,35
"PDCD6",1458,1554,1476,2021,1656,1839
"PDCD6-AHRR",0,0,0,0,0,0
"LOC100421419",2,10,2,5,0,4
"AHRR",0,0,0,0,0,0
"LOC100310782",0,0,0,0,0,0
"EXOC3-AS1",60,64,78,78,85,119
"EXOC3",1447,1554,1445,1889,1874,1784
"SLC9A3",83,94,122,121,141,214
"PP7080",0,0,0,0,0,0
"SLC9A3-AS1",76,73,97,136,218,230
"LOC107986395",0,0,0,0,0,1
"MIR4456",0,0,0,0,0,0
"LOC105374606",0,0,0,0,0,0
"LOC105374607",0,0,0,0,0,0
"LOC105374608",0,0,0,0,0,0
"LOC100996325",0,0,0,1,0,0
"CEP72",497,424,465,450,453,402
"TPPP",45,56,47,30,30,34
"LOC101929898",2,9,0,6,2,0
"ZDHHC11B",6,10,14,6,4,0
"LOC101928768",20,35,26,33,28,36
"ZDHHC11",42,16,27,21,27,27
"SPCS2P3",0,2,0,0,0,0
"BRD9",1334,1332,1277,1260,1394,1369
"TRIP13",2434,2369,2294,1633,1662,1477
"LOC100506688",0,0,0,0,0,0
"NKD2",0,2,0,6,2,4
"SLC12A7",334,507,500,575,606,757
"MIR4635",0,0,0,0,0,0
"LOC105374612",0,0,0,0,0,0
"LOC107986396",0,0,0,0,0,0
"CTD-3080P12.3",0,0,0,0,0,4
"SLC6A19",4,16,7,15,2,15
"SLC6A18",0,0,2,0,0,0
"TERT",5,12,13,0,10,4
"MIR4457",0,0,0,0,0,0
"CLPTM1L",1287,1143,1157,1417,1234,1523
"LINC01511",0,0,0,0,0,0
"SLC6A3",0,0,0,0,0,0
"LPCAT1",41,52,66,26,40,36
"MIR6075",3,0,0,0,0,2
"LOC107986397",0,0,0,0,0,0
"SDHAP3",21,12,17,21,22,14
"LOC728613",95,72,91,94,86,83
"LOC100132773",0,0,0,0,0,2
"LOC112267946",1,0,0,2,0,3
"LOC105374614",0,0,0,0,0,0
"MIR4277",0,0,0,0,0,0
"LOC101929003",16,22,10,10,14,1
"MRPL36",943,977,984,1106,1029,999
"NDUFS6",2489,2377,2495,3422,3319,3483
"LINC02116",0,0,0,0,0,0
"IRX4",0,0,0,0,0,0
"IRX4-AS1",0,0,0,0,0,0
"CTD-2194D22.4",0,0,0,0,0,0
"LOC112267929",0,0,0,0,0,0
"LOC112267947",0,0,0,0,0,0
"LOC105374616",0,2,0,0,0,0
"LOC105374618",0,0,0,0,0,0
"LOC100506858",0,0,0,0,0,0
"LOC107986398",0,0,0,0,0,0
"IRX2",615,549,627,645,510,570
"LSINCT5",0,0,0,0,0,0
"C5orf38",320,384,367,481,518,590
"LOC100130748",0,0,0,0,0,0
"LOC105374620",0,0,0,0,0,0
"LOC107983966",0,0,0,0,0,0
"LOC107984098",0,0,0,0,0,0
"LOC105374621",0,0,0,0,0,0
"LINC01377",0,0,0,0,0,0
"LINC01019",0,0,0,0,0,0
"LINC02162",0,0,0,0,0,0
"LINC01017",0,0,0,0,0,0
"IRX1",0,0,0,0,0,0
"LOC107986399",0,0,0,0,0,0
"LOC105374625",0,0,0,0,0,0
"LOC105374626",0,0,0,0,0,0
"LINC02063",0,0,0,0,0,0
"LOC107986400",0,0,0,0,0,0
"LINC02114",0,0,0,0,0,0
"LOC105374629",0,0,0,0,0,0
"LOC105374630",0,0,0,0,0,0
"LINC01020",0,0,0,0,0,0
"LINC02121",0,0,0,0,0,0
"CTD-2297D10.2",0,0,0,0,0,0
"ADAMTS16",0,8,0,0,0,0
"LOC101929200",8,8,15,6,18,44
"ALG3P1",0,0,0,0,0,0
"ICE1",1461,1109,1440,1141,1590,1141
"LOC105374634",0,0,0,0,0,0
"LOC105374636",0,0,0,0,0,0
"LINC02145",0,0,0,0,0,0
"MED10",1433,1358,1263,1462,1714,1603
"UBE2QL1",0,0,0,0,0,0
"LOC105374639",0,0,0,0,0,0
"LINC01018",2,6,2,2,6,0
"NSUN2",4699,4273,4318,3864,3868,3596
"SRD5A1",688,873,928,1080,1022,946
"LINC02102",0,0,0,0,1,0
"TENT4A",1120,972,1012,1016,1081,1048
"LOC107986401",0,0,0,2,0,5
"LOC102724943",2,2,2,3,0,0
"LINC02236",0,0,0,0,0,0
"MIR4278",0,0,0,0,0,0
"LOC105374641",0,0,0,0,0,0
"LOC105374642",0,0,0,0,0,0
"LINC02196",0,0,0,0,0,0
"LOC105374643",0,0,0,0,0,0
"LOC442132",0,0,0,0,0,0
"LOC105379638",0,0,0,0,0,0
"LINC02123",0,0,0,0,0,0
"LOC105374645",0,0,0,0,0,0
"LINC02142",0,0,0,0,0,0
"LOC107986403",0,0,0,0,0,0
"ADCY2",0,0,0,0,0,0
"LOC105374646",0,0,0,0,0,0
"C5orf49",13,3,2,13,8,12
"MTRR",2107,1973,1971,1747,1812,1574
"FASTKD3",550,513,517,529,668,498
"LOC102723339",0,0,0,0,0,0
"LINC02226",0,0,0,4,2,2
"MIR4458HG",118,112,69,151,139,120
"MIR4458",0,0,0,0,0,0
"LOC105374647",0,0,0,0,0,0
"LOC101929307",0,0,0,0,0,0
"LINC02199",0,0,0,0,0,0
"SEMA5A",0,2,0,0,2,0
"MIR4636",0,0,0,0,0,0
"SEMA5A-AS1",0,0,0,0,0,0
"SNHG18",0,0,0,0,0,0
"SNORD123",0,0,0,0,0,0
"LOC101929359",0,0,0,0,0,0
"TAS2R1",0,0,0,0,0,0
"LINC02112",0,0,0,0,0,0
"LOC105374649",0,0,0,0,0,0
"LINC02221",0,0,0,0,0,0
"LOC107986405",0,0,0,0,0,0
"ATPSCKMT",906,894,841,954,907,800
"CCT5",19893,19385,18633,18908,18800,16925
"CMBL",760,921,987,1094,1272,1456
"LOC105374651",0,0,2,0,0,2
"LOC101929977",76,45,60,108,88,69
"MARCHF6",3743,4231,4056,4330,4903,4216
"MIR10397",0,0,0,0,0,0
"ROPN1L-AS1",0,2,4,1,0,0
"ROPN1L",2,0,4,2,4,14
"LOC105369214",0,0,0,0,0,0
"MIR6131",0,0,0,0,0,0
"RPL30P7",0,0,0,0,0,0
"LINC02212",0,0,0,0,0,0
"LINC02213",0,0,0,0,0,0
"ANKRD33B",713,497,534,384,248,214
"LOC645763",0,2,0,2,4,2
"DAP",2984,3126,3135,4060,3696,3704
"LOC105374652",0,0,0,0,0,0
"CTD-2154B17.1",0,0,0,0,0,0
"LOC105374654",0,0,0,0,0,0
"CTNND2",0,0,0,0,0,0
"RNU6-429P",0,0,0,0,0,0
"LOC105374656",0,0,0,0,0,0
"LOC105374655",0,0,0,0,0,0
"LINC01194",0,0,0,0,0,0
"LOC105374657",0,0,0,0,0,0
"LINC02220",0,0,0,0,0,0
"LOC105374659",0,0,0,0,0,0
"LOC105374660",4,6,0,1,0,2
"RPL29P13",0,0,0,0,0,0
"DNAH5",12,6,8,6,10,2
"TRIO",1851,1537,1733,1424,1575,1440
"SNORD170",0,0,0,0,0,2
"OTULINL",934,1188,1124,1270,1528,1277
"CCT6P2",2,0,4,0,0,0
"EEF1A1P13",37,29,33,33,50,45
"SNORD141B",0,0,0,0,0,0
"OTULIN",2010,2184,2131,2286,2404,2066
"LOC728178",0,0,0,0,0,0
"ANKH",513,597,549,648,724,665
"LOC100130744",0,0,1,0,0,0
"RBBP4P1",2,0,4,10,4,6
"MIR4637",0,0,0,0,0,0
"HNRNPKP5",0,0,0,0,0,0
"LOC105374661",0,0,0,0,0,0
"SEPHS2P1",0,0,0,0,0,0
"LOC107986376",0,0,0,0,0,0
"LINC02149",0,0,0,0,0,0
"FBXL7",3,0,2,0,0,0
"CTD-2350J17.1",0,0,0,0,0,0
"LOC107986343",0,0,0,0,0,0
"MIR887",0,0,0,0,0,0
"LOC107986406",0,0,0,0,0,0
"MARCHF11",0,0,0,0,0,0
"MARCHF11-AS1",0,0,0,0,0,0
"LOC105379640",0,0,0,0,2,0
"LOC401176",0,0,0,0,0,0
